repo_owner,repo_project,log_files,log_watch,size_bubble,primary_language,language_entropy
michael,github,3.8918202981106265,5.634789603169249,59.9,JavaScript,0.0661285958682457
dmytrodanylyk,circular-progress-button,4.290459441148391,6.272877006546167,42.2,Java,0.0
otoolep,rqlite,3.6109179126442243,6.858565034791365,59.6,Go,0.0360517346782778
showdownjs,showdown,6.1903154058531475,6.063785208687608,65.7,JavaScript,0.5786964430611647
bazelbuild,bazel,8.555066843844319,6.439350371100098,98.0,Java,0.6372830326077018
gilbarbara,logos,6.776506992372183,6.075346031088684,78.5,SVG,0.0
MorganZhang100,zhihu-spider,2.0794415416798357,5.14166355650266,47.3,Python,0.0
interagent,prmd,4.584967478670572,5.075173815233827,44.5,Ruby,0.4218327370015637
unicorn-engine,unicorn,6.663132695990803,5.497168225293202,72.6,C,0.5762797685957249
sebyddd,SDVersion,3.7376696182833684,5.37989735354046,45.8,Objective-C,0.3098834652675689
PowerShellEmpire,Empire,5.594711379601839,5.8522024797744745,81.1,PowerShell,0.319462706251839
maisano,react-router-transition,2.995732273553991,5.840641657373398,39.9,JavaScript,0.3269893463595091
onyx-platform,onyx,5.932245187448011,5.455321115357702,74.6,Clojure,0.0192224271257523
christophercliff,flatmarket,3.8066624897703196,5.560681631015528,26.4,JavaScript,0.4809182242283494
apple,swift-package-manager,6.20455776256869,7.057036981697891,65.2,Swift,0.2793107064269054
antlr,antlr4,7.2640301428995295,5.968707559985366,78.5,Java,2.1319720495713987
ramsey,uuid,4.477336814478207,5.986452005284438,52.0,PHP,0.0
DefinitelyTyped,tsd,6.368187186350492,5.4638318050256105,67.6,TypeScript,0.6696606431427067
rancher,convoy,6.212606095751519,5.123963979403259,58.9,Go,0.4706172837083393
garnaat,kappa,4.59511985013459,5.54907608489522,58.0,Python,0.1967419361544915
javiersantos,PiracyChecker,4.1588830833596715,6.037870919922137,39.9,Java,0.6166427113825833
lelandrichardson,react-native-parallax-view,3.1354942159291497,5.327876168789581,58.7,JavaScript,0.6314981625543109
guillaumepotier,Parsley.js,6.028278520230698,6.206575926724928,66.0,JavaScript,0.1473206923389722
volkanceylan,Serenity,8.45638105201948,5.4116460518550396,88.9,C#,1.000430463464782
newsapps,beeswithmachineguns,2.3978952727983707,5.680172609017068,62.6,Python,0.0
artem-zinnatullin,RxJavaProGuardRules,2.9444389791664403,5.3230099791384085,39.7,Shell,0.0
sahat,hackathon-starter,5.030437921392435,8.19836438996762,41.3,JavaScript,1.1096429777055732
jakemmarsh,angularjs-gulp-browserify-boilerplate,4.143134726391533,5.351858133476067,38.3,JavaScript,0.3431233699697247
raulriera,TextFieldEffects,3.58351893845611,6.63200177739563,68.0,Swift,0.2897645954260352
satyan,sugar,4.990432586778736,6.0330862217988015,58.6,Java,0.0
dresende,node-orm2,4.7535901911063645,5.655991810819852,58.7,JavaScript,0.0028634540468073
douban,code,7.549082710812286,5.241747015059643,87.3,CSS,1.0609263914646223
rtsao,csjs,4.1588830833596715,5.541263545158426,45.5,JavaScript,0.4900090319876011
angular,react-native-renderer,5.017279836814924,5.662960480135946,85.4,TypeScript,0.3242992968773253
yasintoy,SnipLime,4.007333185232471,5.135798437050262,48.7,Python,0.0
matt-42,silicon,4.553876891600541,5.673323267171493,59.6,C++,0.2318133023286598
niftylettuce,node-email-templates,3.5263605246161616,5.384495062789089,52.3,JavaScript,0.0
collectiveidea,delayed_job,4.0943445622221,5.209486152841421,48.9,Ruby,0.0
manuelescrig,MEVFloatingButton,4.605170185988092,5.267858159063328,51.9,Objective-C,0.6367928343801325
collectiveidea,audited,4.07753744390572,5.19295685089021,36.9,Ruby,0.0
twbs,ratchet,4.90527477843843,6.715383386334681,64.2,CSS,0.6975655163538967
mde,ejs,4.543294782270004,5.560681631015528,32.1,JavaScript,0.0
tiborsaas,unique-gradient-generator,4.6913478822291435,5.616771097666572,88.1,JavaScript,0.9029335525817728
mogujie,TeamTalk,8.550241045462437,7.010311867307229,89.7,Objective-C,1.597484980034472
dmauro,Keypress,2.995732273553991,5.170483995038151,24.1,CoffeeScript,0.4060840308294531
mrdoob,three.js,7.639161171659173,8.075271546297458,98.8,JavaScript,0.8338001343169292
lcobucci,jwt,4.330733340286331,5.986452005284438,54.1,PHP,0.0257585800711166
square,wire,5.598421958998375,5.916202062607435,69.6,Kotlin,0.8497215031273759
PaperAirplane-Dev-Team,BlackLight,6.398594934535208,5.272999558563747,67.6,Kotlin,0.1601080708073487
CaMnter,EasyGank,5.117993812416755,6.184148890937483,64.4,Java,0.0229901582293035
